,x,y,S-S22
578,-2094.03,2094.03,-0.0704514
579,-2157.4,2157.4,-0.0687994
580,-2222.44,2222.44,-0.0669304
581,-2289.17,2289.17,-0.0654417
582,-2357.64,2357.64,-0.0639923
583,-2427.9,2427.9,-0.062144
584,-2397.21,0.0,-0.121605
585,-2298.45,0.0,-0.122068
586,-2203.57,0.0,-0.122037
587,-2112.41,0.0,-0.122252
588,-2024.82,0.0,-0.122625
589,-1940.67,0.0,-0.123062
590,-1859.82,0.0,-0.12351
591,-1782.14,0.0,-0.124032
592,-1707.51,0.0,-0.12462
593,-1635.81,0.0,-0.12532
594,-1566.92,0.0,-0.126133
595,-1500.73,0.0,-0.127021
596,-1437.13,0.0,-0.128001
597,-1376.03,0.0,-0.129107
598,-1317.33,0.0,-0.13037
599,-1260.93,0.0,-0.131811
600,-1206.74,0.0,-0.133453
601,-1154.68,0.0,-0.135281
602,-1104.66,0.0,-0.137327
603,-1056.6,0.0,-0.139653
604,-1010.43,0.0,-0.142299
605,-966.064,0.0,-0.145312
606,-923.442,0.0,-0.148754
607,-882.491,0.0,-0.152687
608,-843.147,0.0,-0.157204
609,-805.346,0.0,-0.162434
610,-769.027,0.0,-0.168499
611,-734.134,0.0,-0.175536
612,-700.608,0.0,-0.183722
613,-668.398,0.0,-0.193308
614,-637.451,0.0,-0.204656
615,-607.718,0.0,-0.218202
616,-579.151,0.0,-0.236069
617,-551.705,0.0,-0.250867
618,-525.335,0.0,-0.252415
619,-2427.9,-2427.9,-0.176362
620,-2357.64,-2357.64,-0.174573
621,-2289.17,-2289.17,-0.173142
622,-2222.44,-2222.44,-0.17175
623,-2157.4,-2157.4,-0.170031
624,-2094.03,-2094.03,-0.168521
625,-2032.26,-2032.26,-0.167021
626,-1972.07,-1972.07,-0.165583
627,-1913.41,-1913.41,-0.164151
628,-1856.25,-1856.25,-0.162715
629,-1800.54,-1800.54,-0.161465
630,-1746.25,-1746.25,-0.160156
631,-1693.34,-1693.34,-0.158771
632,-1641.77,-1641.77,-0.157447
633,-1591.52,-1591.52,-0.156362
634,-1542.55,-1542.55,-0.15513
635,-1494.82,-1494.82,-0.153971
636,-1448.31,-1448.31,-0.152999
637,-1402.99,-1402.99,-0.151885
638,-1358.82,-1358.82,-0.150839
639,-1315.77,-1315.77,-0.150006
640,-1273.81,-1273.81,-0.149016
641,-1232.93,-1232.93,-0.148109
642,-1193.09,-1193.09,-0.147298
643,-1154.26,-1154.26,-0.146546
644,-1116.42,-1116.42,-0.145875
645,-1079.54,-1079.54,-0.145132
646,-1043.6,-1043.6,-0.1444
647,-1008.58,-1008.58,-0.143888
648,-974.442,-974.442,-0.143325
649,-941.179,-941.179,-0.142761
650,-908.762,-908.762,-0.142237
651,-877.17,-877.17,-0.141757
652,-846.382,-846.382,-0.141313
653,-816.378,-816.378,-0.140872
654,-787.138,-787.138,-0.14045
655,-758.642,-758.642,-0.140059
656,-730.872,-730.872,-0.139664
657,-703.808,-703.808,-0.139233
658,-677.433,-677.433,-0.138773
659,-651.73,-651.73,-0.138268
660,-626.681,-626.681,-0.137685
661,-602.27,-602.27,-0.136993
662,-578.48,-578.48,-0.136155
663,-555.295,-555.295,-0.135127
664,-532.701,-532.701,-0.133855
665,-510.682,-510.682,-0.132291
666,-489.223,-489.223,-0.130301
667,-468.311,-468.311,-0.127737
668,-447.931,-447.931,-0.124511
669,-428.07,-428.07,-0.120374
670,-408.714,-408.714,-0.114942
671,-389.851,-389.851,-0.105986
672,-371.468,-371.468,-0.101388
673,-335.779,-370.476,-0.0817764
674,-317.197,-386.505,-0.0704142
675,-297.85,-401.604,-0.0589687
676,-277.785,-415.735,-0.0481081
677,-257.051,-428.864,-0.0387519
678,-235.698,-440.961,-0.0308767
679,-213.778,-451.995,-0.0242263
680,-191.342,-461.94,-0.0186742
681,-168.445,-470.772,-0.0141417
682,-145.142,-478.47,-0.0105337
683,-121.49,-485.016,-0.00772882
684,-97.5452,-490.393,-0.00564896
685,-73.3652,-494.588,-0.00410127
686,-49.0086,-497.592,-0.00309254
687,-24.5338,-499.398,-0.00190041
688,0.0,-475.0,
689,0.0,-450.0,
690,0.0,-425.0,
691,0.0,-400.0,
692,0.0,-375.0,
693,0.0,-350.0,
694,0.0,-325.0,
695,0.0,-300.0,
696,0.0,-275.0,
697,0.0,-250.0,
698,0.0,-225.0,
699,0.0,-200.0,
700,0.0,-175.0,
701,0.0,-150.0,
702,0.0,-125.0,
703,0.0,-100.0,
704,0.0,-75.0,
705,0.0,-50.0,
706,0.0,-25.0,
707,335.779,370.476,-0.0751652
708,317.197,386.505,-0.0631264
709,297.85,401.604,-0.0521174
710,277.785,415.735,-0.0418868
711,257.051,428.864,-0.0334123
712,235.698,440.961,-0.0263533
713,213.778,451.995,-0.020459
714,191.342,461.94,-0.0156032
715,168.445,470.772,-0.0116703
716,145.142,478.47,-0.00854915
717,121.49,485.016,-0.00613436
718,97.5452,490.393,-0.00434848
719,73.3652,494.588,-0.00302387
720,49.0086,497.592,-0.00218113
